ticker,as_of,insider,position,transaction,shares,value,ownership
CDNS,2026-01-08,TENG CHIN-CHI,Officer,Conversion of Exercise of derivative security at price 78.76 per share.,3000,236280.0,D
CDNS,2026-01-02,CUNNINGHAM PAUL ALEXANDER,Officer,Sale at price 315.70 per share.,1000,315700.0,D
CDNS,2025-12-31,VAN DEN HOVE LUC,Director,Stock Award(Grant) at price 0.00 per share.,265,0.0,D
CDNS,2025-12-16,WALL JOHN M,Chief Financial Officer,Sale at price 317.34 - 320.10 per share.,27805,8857772.0,D
GOOGL,2026-08-07,SERGEY BRIN,Director and Beneficial Owner of more than 10% of a Class of Security,Stock Gift at price 0.00 per share.,673200,0.0,D
GOOGL,2026-02-19,SERGEY BRIN,Director and Beneficial Owner of more than 10% of a Class of Security,Stock Gift at price 0.00 per share.,437500,0.0,D
GOOGL,2026-02-13,HENNESSY JOHN L,Director,Sale at price 306.11 - 307.77 per share.,600,184037.0,I
GOOGL,2026-01-13,HENNESSY JOHN L,Director,Sale at price 335.13 - 339.75 per share.,600,202514.0,I
GOOGL,2025-12-09,SHRIRAM KAVITARK RAM,Director,Stock Gift at price 0.00 per share.,39200,0.0,I
GOOGL,2025-09-25,SHRIRAM KAVITARK RAM,Director,Stock Gift at price 0.00 per share.,243508,0.0,I
GOOGL,2025-08-15,SHRIRAM KAVITARK RAM,Director,Sale at price 205.00 per share.,26000,5330000.0,D/I
GOOGL,2025-07-18,SHRIRAM KAVITARK RAM,Director,Sale at price 185.76 per share.,33566,6235220.0,D/I
GOOGL,2025-05-22,SHRIRAM KAVITARK RAM,Director,Sale at price 175.00 per share.,19500,3412500.0,D/I
GOOGL,2025-02-18,SHRIRAM KAVITARK RAM,Director,Sale at price 182.49 - 185.51 per share.,53066,9810567.0,D/I
GOOGL,2025-01-31,SHRIRAM KAVITARK RAM,Director,Sale at price 205.00 per share.,26000,5330000.0,D/I
GOOGL,2025-01-13,HENNESSY JOHN L,Director,Sale at price 187.90 - 190.40 per share.,1500,284693.0,I
GOOGL,2024-12-18,SHRIRAM KAVITARK RAM,Director,Stock Gift at price 0.00 per share.,65400,0.0,I
GOOGL,2024-12-12,HENNESSY JOHN L,Director,Sale at price 192.80 - 195.03 per share.,1500,291336.0,I
GOOGL,2024-12-10,SHRIRAM KAVITARK RAM,Director,Sale at price 185.01 - 185.02 per share.,72500,13413721.0,D/I
GOOGL,2024-11-12,HENNESSY JOHN L,Director,Sale at price 179.80 - 182.03 per share.,1500,271125.0,I
GOOGL,2024-11-07,SHRIRAM KAVITARK RAM,Director,Sale at price 177.41 per share.,19500,3459495.0,D/I
GOOGL,2024-10-30,SHRIRAM KAVITARK RAM,Director,Sale at price 180.78 per share.,19500,3525210.0,D/I
GOOGL,2024-10-14,HENNESSY JOHN L,Director,Sale at price 163.70 - 165.27 per share.,1500,247432.0,I
GOOGL,2024-10-10,SHRIRAM KAVITARK RAM,Director,Stock Gift at price 0.00 per share.,391400,0.0,I
GOOGL,2024-09-23,HENNESSY JOHN L,Director,Sale at price 165.00 per share.,700,115500.0,I
GOOGL,2024-09-12,HENNESSY JOHN L,Director,Sale at price 153.47 - 154.22 per share.,800,123003.0,I
META,2026-08-10,OLIVAN JAVIER,Chief Operating Officer,Sale at price 600.00 - 607.14 per share.,1692,1016373.0,D/I
META,2026-08-04,ANDREESSEN MARC L,Director,Sale at price 588.16 - 591.69 per share.,426,250907.0,I
